CATEGORY	BIBTEXKEY	author	title	year	publisher	address	pages	booktitle	editor	journal	volume	number	school	note	url
book	abdullaev1950	Абдуллаев, Сайгид Н.	Даргинско-русский словарь [Russian-Dargwa dictionary]	1950	Институт истории, языка и литературы им. Г. Цадасы	Махачкала	NA		Сулейманов Х. Ш.	NA	NA	NA	NA	NA	NA
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка [Dargwa grammar]	1954	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	abdullaevaetal2014	Абдуллаева, Айшат З. and Гаджиахмедов, Нурмагомед Э. and Кадыраджиев, Калсын С. and Керимов, Ибрагим А. and Ольмесов, Нурмагомед Х. and Хангишиев, Джангиши М.	Современный кумыкский язык [Contemporary Kumyk]	2014	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
misc	abdulmutalibov2005	Абдулмуталибов Н.Ш.	Русско-лезгинский разговорник [Russian-Lezgian phrasebook]	2005	NA	Махачкала	NA		NA	NA	NA	NA	NA	Accessed: 2021-12-17	NA
incollection	alekseev1994	Alekseev, Mikhail E.	Rutul	1994	Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2	Smeets, Riek	NA	NA	NA	NA	NA	NA
incollection	alekseev1998	Алексеев, Михаил Е.	Андийский язык [Andi]	1998	Academia	Москва	221--228	Языки мира. Кавказские языки [Languages of the world. Caucasian languages]	Алексеев, Михаил Е. and др.	NA	NA	NA	NA	NA	NA
incollection	alekseyev2016rutul	Alekseyev, Mikhail	Rutul	2016	De Gruyter Mouton	Berlin/Boston	3536--3545	Word-Formation. An International Handbook of the Languages of Europe. Volume 5	Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz	NA	NA	NA	NA	NA	NA
book	alekseevataev1997	Алексеев, Михаил Егорович and Атаев, Борис Махаевич	Аварский язык [Avar language]	1997	Академия	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	alekseevetal1998	Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.	Языки мира. Кавказские языки [Languages of the world. Caucasian languages]	1998	Academia	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	alekseevetal2008	Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.	Удинский сборник: Грамматика. Лексика. История языка [Udi. Grammar. Lexicon. History of the language]	2008	Академия	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	alekseevetal2012	Алексеев, Михаил Е. and Атаев, Борис Махаевич and Магомедов, Магомед Абдулкадирович and Магомедов, Магомед Ибрагимович and Мадиева, Гюльжаган Исмаиловна and Саидова, Патимат Абдулаевна and Самедов, Джалиль Самедович	Современный аварский язык [Contemporary Avar language]	2012	Aleph	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	alekseevshixalieva2003	Алексеев, Михаил Е. and Шихалиева, Сабрина Х.	Табасаранский язык [Tabasaran]	2003	Академия	Москва	NA		NA	NA	NA	NA	NA	NA	NA
incollection	alekseyev2016	Alekseyev, Mikhail	Botlikh	2016	De Gruyter Mouton	Berlin/Boston	3678--3685	Word-Formation. An International Handbook of the Languages of Europe. Volume 5	Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz	NA	NA	NA	NA	NA	NA
unpublished	alexeyevverheesdraft2020	Alexeyev, Mikhail and Verhees, Samira	Botlikh	2020	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA
phdthesis	alisultanova2009	Алисултанова, Меседу А.	Лексика андийского языка	2009	NA	Махачкала	NA		NA	NA	NA	NA	Дагестанский научный центр Российской академии наук  Институт языка, литературы и искусства им. Гамзата Цадасы	NA	NA
book	alisultanovsulejmanova2019	Алисултанов, Алисултан С. and Сулейманова, Таисия А.	Рутульско-русский словарь [Rutul-Russian dictionary]	2019	АЛЕФ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	authier2009	Authier, Gilles	Grammaire kryz	2009	Peeters	Paris	NA		NA	NA	NA	NA	NA	NA	NA
article	authier2010	Authier, Gilles	Azeri morphology in Kryz (East Caucasian)	2010	NA	NA	14--42		NA	Turkic Languages	14	NA	NA	NA	NA
book	authier2012	Authier, Gilles	Grammaire juhuri, ou judéo-tat, langue iranienne des Juifs du Caucase de l’est	2012	Dr. Ludwig Reichert Verlag Wiesbaden	Wiesbaden	NA		NA	NA	NA	NA	NA	NA	NA
unpublished	authierdraft2020	Authier, Gilles	Tindi	2020	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA
incollection	authierhaciyev2016	Authier, Gilles and Adigözel Haciyev	Budugh	2016	De Gruyter Mouton	Berlin/Boston	3546--3563	Word-Formation. An International Handbook of the Languages of Europe. Volume 5	Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz	NA	NA	NA	NA	NA	NA
phdthesis	azaev1974	Азаев, Халил Г.	Лексика и словообразование ботлихского языка [Lexicon and word formation in Botlikh]	1974	NA	Махачкала	NA		NA	NA	NA	NA	Дагестанский филиал АН СССР, Институт истории языка и литературы им. Г. Цадасы	NA	NA
incollection	azaev2000	Азаев, Халил Г.	Ботлихский язык [Botlikh]	2000	Восток	Москва/Махачкала	346--359	Языки Дагестана [Languages of Daghestan]	Гамзатов, Гаджи Г.	NA	NA	NA	NA	NA	NA
phdthesis	babaliyeva2013	Babaliyeva, Ayten	Études sur la morphosyntaxe du tabasaran littéraire	2013	NA	NA	NA		NA	NA	NA	NA	École Pratique des Hautes Études	NA	NA
book	baskakov1940	Баскаков, Николай А.	Ногайский язык и его диалекты: грамматика, тексты и словарь [Nogai and its dialects: grammar, texts and dictionary]	1940	Издательство Академии наук СССР	Москва	NA		NA	NA	NA	NA	NA	NA	NA
incollection	baskakov1996	Баскаков, Николай А.	Ногайский язык [Nogai language]	1996	Институт языкознания РАН	Москва	328--335	Языки мира. Тюркские языки [Languages of the world. Turkic languages]	Рогова, Наталья В. and Романова, Ольга И. and Черкасова, И. М.	NA	NA	NA	NA	NA	NA
incollection	belyaev2018	Belyaev, Oleg	Aorist, Resultative and Perfect in Shiri Dargwa and beyond	2018	Brill	Leiden	80--119	The semantics of verbal categories in Nakh-Daghestanian languages	Forker, Diana and Maisak, Timur	NA	NA	NA	NA	NA	NA
incollection	boeder2000	Boeder, Winfried	Evidentiality in Georgian	2000	Mouton de Gruyter	Berlin/New York	275--328	Evidentials. Turkic, Iranian and neighbouring languages	Johanson, Lars and Utas, Bo	NA	NA	NA	NA	NA	NA
book	bokarev1949a	Бокарёв, Анатолий А.	Очерк грамматики чамалинского языка [Grammar sketch of Chamalal]	1949	Издательство Академии наук СССР	Москва/Ленинград	NA		NA	NA	NA	NA	NA	NA	NA
book	bokarev1949b	Бокарёв, Анатолий А.	Синтаксис аварского языка [Syntax of Avar]	1949	Издательство Академии наук СССР	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	bokarev1959	Бокарёв, Евгений А.	Цезские (дидойские) языки Дагестана [Tsezic (Didoic) languages of Daghestan]	1959	Академия	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	bokarev1959tsez	Бокарёв, Евгений А.	Цезский язык [Tsez]	1959	Академия	Москва	175--221	Цезские (дидойские) языки Дагестана [Tsezic (Didoic) languages of Daghestan]	Бокарёв, Евгений А.	NA	NA	NA	NA	NA	NA
book	cercvadze1965	Cercvadze, Ilia I.	Andiuri ena [The Andi language]	1965	Mecniereba	Tbilisi	NA		NA	NA	NA	NA	NA	NA	NA
incollection	chechuro2019	Chechuro, Ilya	Nominal morphology of Mehweb	2019	Language Science Press	Berlin	39--72	The Mehweb language. Essays on phonology, morphology and syntax	Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry	NA	NA	NA	NA	NA	NA
incollection	chumakina2016	Chumakina, Marina	Archi	2016	De Gruyter Mouton	Berlin/Boston	3595--3604	Word-Formation. An International Handbook of the Languages of Europe. Volume 5	Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz	NA	NA	NA	NA	NA	NA
incollection	chumakina2018	Chumakina, Marina	Mood in Archi: Realization and semantics	2018	Brill	Leiden	215--246	The semantics of verbal categories in Nakh-Daghestanian languages	Forker, Diana and Maisak, Timur	NA	NA	NA	NA	NA	NA
incollection	chumakinacorbett2008	Chumakina, Marina and Greville G. Corbett	Archi: the challenge of an extreme agreement system	2008	Языки славянских культур	Москва	184--194	Фонетика и нефонетика. К 70-летию Сандро В. Кодзасова	Архипов, Александр В. and др.	NA	NA	NA	NA	NA	NA
misc	chumakinaetal2007	Chumakina, Marina and Brown, Dunstan and Corbett, Greville G. and Quilliam, Harley	A dictionary of Archi: Archi-Russian-English (Online edition)	2007	University of Surrey	NA	NA		NA	NA	NA	NA	NA	NA	NA
incollection	comrie2007	Comrie, Bernard	Tsez (Dido) Morphology	2007	Eisenbrauns	University Park, PA	1193--1204	Morphologies of Asia and Africa	Kaye, Alan S.	NA	NA	NA	NA	NA	NA
book	comrieetal2015	Comrie, Bernard and Khalilov, Madzhid and Khalilova, Zaira	A grammar of Bezhta	2015	Max Planck Institute for Evolutionary Anthropology	Leipzig	NA		NA	NA	NA	NA	NA	NA	NA
incollection	comriepolinsky2007	Comrie, Bernard and Polinsky, Maria	Evidentials in Tsez	2007	Peeters	Louvain/Paris/Dudley MA	335--350	L'Énonciation médiatisée II	Guentchéva, Zlatka and Landabaru, John	NA	NA	NA	NA	NA	NA
incollection	comriepolinskydraft2020	Comrie, Bernard and Polinsky, Maria	Tsez	2020	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA
unpublished	creissels2008	Creissels, Denis	Optative in Akhvakh	2008	NA	NA	NA		NA	NA	NA	NA	NA	Questionnaire	http://www.deniscreissels.fr/public/Creissels-opt.Akhv.pdf
incollection	creissels2012	Creissels, Denis	External agreement in the converbal construction of Northern Akhvakh	2012	De Gruyter Mouton	Berlin/New York	127--156	Clause linkage in cross-linguistic perspective	Gast, Volker and Diessel, Holger	NA	NA	NA	NA	NA	NA
incollection	creissels2013	Creissels, Denis	Floating genitives and possessive framing in Northern Akhvakh	2013	John Benjamins	Amsterdam/Philadelphia	333--354	The Genitive	Carlier, Anne and Verstraete, Jean-Christophe	NA	NA	NA	NA	NA	NA
incollection	creissels2016	Creissels, Denis	Akhvakh	2016	De Gruyter Mouton	Berlin/Boston	3685--3694	Word-Formation. An International Handbook of the Languages of Europe. Volume 5	Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz	NA	NA	NA	NA	NA	NA
incollection	creissels2018	Creissels, Denis	Perfective tenses and epistemic modality in Northern Akhvakh	2018	Brill	Leiden	166--187	The semantics of verbal categories in Nakh-Daghestanian languages	Forker, Diana and Maisak, Timur	NA	NA	NA	NA	NA	NA
unpublished	creisselsdraft2020	Creissels, Denis	A sketch of Northern Akhvakh	2020	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA
incollection	daniel2001	Даниэль, Михаил А.	Падеж и локализация [Case and localization]	2001	Наследие	Москва	203--230	Багвалинский язык. Грамматика, тексты, словари [The Bagvalal language. Grammar, texts, dictionaries]	Кибрик, Александр Е. and др.	NA	NA	NA	NA	NA	NA
unpublished	daniel2006	Daniel, Michael	Reported speech in Archi: a new approach to the old data	2006	NA	NA	NA		NA	NA	NA	NA	NA	Morphosyntaxe des langues du Caucase, 11-14.12.2006, INALCO Paris. Handout	NA
book	danieletal2019	Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry	The Mehweb language. Essays on phonology, morphology and syntax	2019	Language Science Press	Berlin	NA		NA	NA	NA	NA	NA	NA	NA
incollection	daraganmaisak2001	Дараган, Юлия В. and Майсак, Тимур А.	Частицы, союзы и транскатегориальные показатели [Particles, conjunctions and transcategorical markers]	2001	Наследие	Москва	173--184	Багвалинский язык. Грамматика, тексты, словари [The Bagvalal language. Grammar, texts, dictionaries]	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA
book	desheriev1953	Дешериев, Юнус Д.	Бацбийский язык [Tsova-Tush language]	1953	Академия	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	desheriev1959	Дешериев, Юнус Д.	Грамматика хиналугского языка [Khinalug grammar]	1959	Академия	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	desheriev1963	Дешериев, Юнус Д.	Сравнительно-историческая грамматика нахских языков и проблемы происхождения и исторического развития горских кавказских народов [Historical-comparative grammar of Nakh languages and the origin and historical development of Caucasian mountain peoples]	1963	Чечено-Ингушское книжное издательство	Грозный	NA		NA	NA	NA	NA	NA	NA	NA
incollection	desherieva1999	Дешериевa, T. И.	Нахские языки [Nakh languages]	1999	Российская академия наук	Москва	166--173	Языки мира. Кавказские языки. [Languages of the World. Caucasian Languages.]	Алексеев, Михаил Е. and др.	NA	NA	NA	NA	NA	NA
book	dirr1906	Дирр, Адольф	Краткий грамматический очерк андийского языка с текстами,сборником андийских слов и русским к нему указателем. [Brief outline of Andi language with a compilation of Andi words and Russian index]	1906	NA	Тифлис (Тбилиси)	NA		NA	NA	NA	NA	NA	NA	NA
book	dmitriev1940	Дмитриев, Николай К.	Грамматика кумыкского языка [Kumyk grammar]	1940	Академия	Москва	NA		NA	NA	NA	NA	NA	NA	NA
incollection	dobrushina2011	Dobrushina, Nina	The optative domain in East Caucasian languages	2011	Brockmeyer	Bochum	95--130	Tense, aspect, modality and finiteness in East Caucasian languages	Authier, Gilles and Maisak, Timur	NA	NA	NA	NA	NA	NA
incollection	dobrushina2019	Dobrushina, Nina	Moods of Mehweb	2019	Language Science Press	Berlin	117--165	The Mehweb language. Essays on phonology, morphology and syntax	Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry	NA	NA	NA	NA	NA	NA
incollection	dobrushinaetal1996	Dobrushina, Nina and Kibrik, Aleksandr and Tatevosov, Sergei	Verbs	1996	Lincom Europa	Munich/Newcastle	44--74	Godoberi	Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander	NA	NA	NA	NA	NA	NA
incollection	dobrushinatatevosov1996	Dobrushina, Nina and Tatevosov, Sergei	Usage of verbal forms	1996	Lincom Europa	Munich/Newcastle	91--106	Godoberi	Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander	NA	NA	NA	NA	NA	NA
book	dum-tragut2009	Dum-Tragut, Jasmine	Armenian	2009	John Benjamins	Amsterdam/Philadelphia	NA		NA	NA	NA	NA	NA	NA	NA
book	dzhidalaev1994	Джидалаев, Нурислам С.	Русско-лакский словарь [Russian-Lak dictionary]	1994	Институт истории, языка и литературы им. Г. Цадасы	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
unpublished	dzhidalaevetal2022	Джидалаев, Нурислам С. and Магомедова, Заграт Дж. and Халилов, Маджид Ш.	Словарь хваршинского языка [Khwarshi dictionary]	2022	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
phdthesis	eldarova1995	Эльдарова, Роза Г.	Морфология лакского глагола [Morphology of the Lak verb]	1995	NA	Махачкала	NA		NA	NA	NA	NA	ИПЦ ДГУ	NA	NA
incollection	fedorova1996	Fedorova, Olga	Usage of nominal forms	1996	Lincom Europa	Munich/Newcastle	76--91	Godoberi	Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander	NA	NA	NA	NA	NA	NA
book	forker2013	Forker, Diana	A grammar of Hinuq	2013	De Gruyter Mouton	Berlin/Boston	NA		NA	NA	NA	NA	NA	NA	NA
incollection	forker2014	Forker, Diana	The grammar of knowledge in Hinuq	2014	Oxford University Press	Oxford	52--68	The grammar of knowledge. A cross-linguistic typology	Aikhenvald, Alexandra Y. and Dixon, R.M.W.	NA	NA	NA	NA	NA	NA
incollection	forker2018avar	Forker, Diana	The semantics of evidentiality and epistemic modality in Avar	2018	Brill	Leiden	188--214	The semantics of verbal categories in Nakh-Daghestanian languages	Forker, Diana and Maisak, Timur	NA	NA	NA	NA	NA	NA
article	forker2018b	Forker, Diana	Gender agreement is different	2018	NA	NA	865--894		NA	Linguistics	56	4	NA	NA	NA
article	forker2019	Forker, Diana	The impact of language contact on Hinuq: Phonology, morphology, syntax, and lexicon	2019	NA	NA	29--62		NA	Language Typology and Universals	72	2	NA	NA	NA
article	forker2019b	Forker, Diana	Reported speech constructions in Sanzhi Dargwa and their extension to other areas of grammar	2019	NA	NA	171--199		NA	Sprachwissenschaft	44	NA	NA	NA	NA
book	forker2020dargwa	Forker, Diana	A grammar of Sanzhi Dargwa	2020	Language Science Press	Berlin	NA		NA	NA	NA	NA	NA	NA	https://langsci-press.org/catalog/book/250
unpublished	forkerdraft2020	Forker, Diana	Avar grammar sketch	2020	Oxford University Press	Oxford	NA	Oxford Handbook of Languages of the Caucasus	Polinsky, Maria	NA	NA	NA	NA	NA	NA
article	friedman1984	Friedman, Victor A.	Status in the Lak verbal system	1984	NA	NA	135--149		NA	Folia Slavica	7	1/2	NA	NA	NA
